Enter Cancerdata foldername: P388
0 4 1 1018 6.054
1 2 2 627 14.212
1 3 1 73 4.763
1 4 1 808 5.924
2 4 1 8799 12.421
2 4 2 3416 13.181
3 4 1 10851 12.217
3 3 2 69 4.738
3 4 2 1390 6.236
4 4 1 29292 10.671
4 4 2 9833 12.315
2 3 1 175 5.153
2 3 2 228 14.722
1 2 1 237 5.296
7 2 2 5 16.284
7 4 1 143 14.939
3 3 1 397 5.549
1 4 2 63 15.299
9 4 1 161 5.114
3 4 3 46 4.568
11 4 1 43 4.54
12 4 1 20 15.766
11 2 1 87 15.161
11 2 2 89 15.151
7 0 1 36 15.532
14 0 1 2 3.395
15 4 1 117 4.969
16 4 1 57 15.342
18 4 1 7 3.837
19 4 1 5 16.284
20 4 1 12 4.037
0 2 1 12 15.962
0 2 2 4 16.363
1 1 1 10 3.969
4 4 3 10 3.969
6 0 1 97 15.113
7 15 1 6 16.218
24 1 1 3 3.535
24 4 1 9 3.929
6 12 1 8 16.113
6 15 1 8 16.113
12 7 1 3 16.464
24 4 2 2 3.395
25 0 1 7 3.837
11 3 1 279 5.374
26 0 1 7 3.837
16 3 1 3 3.535
16 2 1 12 15.962
1 11 2 14 15.904
11 3 2 23 4.288
0 3 1 3 16.464
1 9 1 21 4.252
1 3 2 7 16.162
20 11 2 1 16.836
7 9 1 3 3.535
2 2 1 2 16.604
24 2 1 6 3.781
1 27 1 2 16.604
3 27 1 1 3.163
15 3 1 2 3.395
28 28 1 1 16.836
28 4 1 2 16.604
0 11 1 2 16.604
24 2 2 1 16.836
Hi
#graphs: 2297
#avgEdge: 29.8894
averageEdgeWeight: 0.000245223
MaxW: 16.836    MinW: 3.163
